Number ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,Salary
35,0.84,0.87,4,246,6,0,1,0,TECHNICAL,LOW
36,0.1,0.94,6,255,4,0,1,0,TECHNICAL,LOW
37,0.38,0.46,2,137,3,0,1,0,TECHNICAL,LOW
38,0.45,0.5,2,126,3,0,1,0,TECHNICAL,LOW
39,0.11,0.89,6,306,4,0,1,0,TECHNICAL,LOW
40,0.41,0.54,2,152,3,0,1,0,TECHNICAL,LOW
41,0.87,0.88,5,269,5,0,1,0,TECHNICAL,LOW
42,0.45,0.48,2,158,3,0,1,0,TECHNICAL,LOW
43,0.4,0.46,2,127,3,0,1,0,TECHNICAL,LOW
44,0.1,0.8,7,281,4,0,1,0,TECHNICAL,LOW
45,0.09,0.89,6,276,4,0,1,0,TECHNICAL,LOW
46,0.84,0.74,3,182,4,0,1,0,SUPPORT,LOW
47,0.4,0.55,2,147,3,0,1,0,SUPPORT,LOW
48,0.57,0.7,3,273,6,0,1,0,SUPPORT,LOW
49,0.4,0.54,2,148,3,0,1,0,SUPPORT,LOW
50,0.43,0.47,2,147,3,0,1,0,SUPPORT,LOW
51,0.13,0.78,6,152,2,0,1,0,SUPPORT,LOW
52,0.44,0.55,2,135,3,0,1,0,SUPPORT,LOW
53,0.38,0.55,2,134,3,0,1,0,SUPPORT,LOW
54,0.39,0.54,2,132,3,0,1,0,SUPPORT,LOW
55,0.1,0.92,7,307,4,0,1,0,SUPPORT,LOW
56,0.37,0.46,2,140,3,0,1,0,SUPPORT,LOW
57,0.11,0.94,7,255,4,0,1,0,TECHNICAL,LOW
58,0.1,0.81,6,309,4,0,1,0,TECHNICAL,LOW
59,0.38,0.54,2,128,3,0,1,0,TECHNICAL,LOW
60,0.85,1,4,225,5,0,1,0,MANAGEMENT,LOW
61,0.85,0.91,5,226,5,0,1,0,IT,MEDIUM
62,0.11,0.93,7,308,4,0,1,0,IT,MEDIUM
63,0.1,0.95,6,244,5,0,1,0,IT,MEDIUM
64,0.36,0.56,2,132,3,0,1,0,IT,MEDIUM
65,0.11,0.94,6,286,4,0,1,0,IT,MEDIUM
66,0.81,0.7,6,161,4,0,1,0,PRODUCT_MNG,MEDIUM
67,0.43,0.54,2,153,3,0,1,0,PRODUCT_MNG,MEDIUM
68,0.9,0.98,4,264,6,0,1,0,PRODUCT_MNG,MEDIUM
69,0.76,0.86,5,223,5,1,1,0,PRODUCT_MNG,MEDIUM
70,0.43,0.5,2,135,3,0,1,0,IT,MEDIUM
71,0.74,0.99,2,277,3,0,1,0,PRODUCT_MNG,MEDIUM
72,0.09,0.77,5,275,4,0,1,0,PRODUCT_MNG,MEDIUM
73,0.45,0.49,2,149,3,0,1,0,PRODUCT_MNG,HIGH
74,0.09,0.87,7,295,4,0,1,0,PRODUCT_MNG,LOW
75,0.11,0.97,6,277,4,0,1,0,PRODUCT_MNG,MEDIUM
76,0.11,0.79,7,306,4,0,1,0,PRODUCT_MNG,MEDIUM
77,0.1,0.83,6,295,4,0,1,0,MARKETING,MEDIUM
78,0.4,0.54,2,137,3,0,1,0,SALES,MEDIUM
79,0.43,0.56,2,157,3,0,1,0,ACCOUNTING,LOW
80,0.39,0.56,2,142,3,0,1,0,SUPPORT,LOW
81,0.45,0.54,2,140,3,0,1,0,TECHNICAL,LOW
82,0.38,0.49,2,151,3,0,1,0,MANAGEMENT,LOW
83,0.79,0.59,4,139,3,0,1,1,MARKETING,LOW
84,0.84,0.85,4,249,6,0,1,0,MARKETING,LOW
85,0.11,0.77,6,291,4,0,1,0,MARKETING,LOW
86,0.11,0.87,6,305,4,0,1,0,SALES,LOW
87,0.17,0.84,5,232,3,0,1,0,SALES,LOW
88,0.44,0.45,2,132,3,0,1,0,SALES,LOW
89,0.37,0.57,2,130,3,0,1,0,SALES,LOW
90,0.1,0.79,6,291,4,0,1,0,SALES,LOW
91,0.4,0.5,2,130,3,0,1,0,SALES,LOW
92,0.89,1,5,246,5,0,1,0,SALES,LOW
93,0.42,0.48,2,143,3,0,1,0,SALES,LOW
94,0.46,0.55,2,129,3,0,1,0,SALES,LOW
95,0.09,0.83,6,255,4,0,1,0,SALES,LOW
96,0.37,0.51,2,155,3,0,1,0,SALES,LOW
97,0.1,0.77,6,265,4,0,1,0,SALES,LOW
98,0.1,0.84,6,279,4,0,1,0,SALES,LOW
99,0.11,0.97,6,284,4,0,1,0,SALES,LOW
100,0.9,1,5,221,6,0,1,0,SALES,MEDIUM
101,0.38,0.52,2,154,3,0,1,0,SALES,MEDIUM
102,0.36,0.52,2,147,3,0,1,0,SALES,MEDIUM
103,0.42,0.46,2,150,3,0,1,0,SALES,MEDIUM
104,0.09,0.94,7,267,4,0,1,0,SALES,MEDIUM
105,0.43,0.52,2,158,3,0,1,0,ACCOUNTING,MEDIUM
106,0.24,0.46,7,224,5,0,1,0,ACCOUNTING,MEDIUM
107,0.91,1,4,257,5,0,1,0,ACCOUNTING,MEDIUM
108,0.44,0.5,2,148,3,0,1,0,HR,MEDIUM
109,0.71,0.87,3,177,4,0,1,0,HR,MEDIUM
110,0.4,0.49,2,155,3,0,1,0,HR,MEDIUM
111,0.43,0.47,2,144,3,0,1,0,HR,MEDIUM
112,0.09,0.85,6,289,4,0,1,0,TECHNICAL,HIGH
113,0.43,0.52,2,160,3,0,1,0,TECHNICAL,LOW
114,0.9,0.96,4,258,5,0,1,0,TECHNICAL,MEDIUM
115,0.84,1,5,234,5,0,1,0,TECHNICAL,MEDIUM
116,0.37,0.48,2,137,3,0,1,0,TECHNICAL,MEDIUM
117,0.86,0.68,5,263,2,0,1,0,TECHNICAL,MEDIUM
118,0.11,0.84,6,251,4,0,1,0,TECHNICAL,LOW
119,0.37,0.57,2,133,3,0,1,0,TECHNICAL,LOW
120,0.4,0.46,2,132,3,0,1,0,TECHNICAL,LOW
121,0.14,0.62,4,158,4,1,1,0,TECHNICAL,LOW
122,0.4,0.46,2,135,3,0,1,0,TECHNICAL,LOW
123,0.75,1,4,216,6,0,1,0,SUPPORT,LOW
124,0.11,0.84,6,300,5,1,1,0,SUPPORT,LOW
125,0.46,0.49,2,138,3,0,1,0,SUPPORT,LOW
126,0.11,0.92,6,260,4,0,1,0,SUPPORT,LOW
127,0.38,0.49,2,132,3,0,1,0,SUPPORT,LOW
128,0.7,0.89,3,183,5,0,1,0,SUPPORT,LOW
129,0.09,0.82,6,250,4,0,1,0,SUPPORT,LOW
130,0.37,0.45,2,151,3,0,1,0,SUPPORT,LOW
131,0.1,0.83,6,292,4,0,1,0,SUPPORT,LOW
132,0.38,0.57,2,140,3,0,1,0,SUPPORT,LOW
133,0.9,1,5,221,5,0,1,0,SUPPORT,LOW
134,0.44,0.51,2,138,3,0,1,0,TECHNICAL,LOW
135,0.36,0.5,2,132,3,0,1,0,TECHNICAL,LOW
136,0.31,0.84,7,133,5,0,1,0,TECHNICAL,LOW
137,0.1,0.84,6,283,4,1,1,0,MANAGEMENT,LOW
138,0.42,0.48,2,129,3,0,1,0,IT,LOW
139,0.74,1,4,249,5,0,1,0,IT,LOW
140,0.73,0.87,5,257,5,0,1,0,IT,LOW
141,0.09,0.96,6,245,4,0,1,0,IT,LOW
142,0.45,0.53,2,155,3,0,1,0,IT,LOW
143,0.11,0.8,6,256,4,0,1,0,PRODUCT_MNG,LOW
144,0.37,0.47,2,152,3,0,1,0,PRODUCT_MNG,LOW
145,0.84,0.99,4,267,5,0,1,0,PRODUCT_MNG,LOW
146,0.41,0.46,2,151,3,0,1,0,PRODUCT_MNG,LOW
147,0.76,0.92,4,239,5,0,1,0,IT,LOW
148,0.11,0.87,6,306,4,0,1,0,MARKETING,LOW
149,0.84,0.88,4,263,5,1,1,0,MARKETING,LOW
150,0.39,0.5,2,147,3,0,1,0,MARKETING,LOW
151,0.11,0.91,6,278,4,0,1,0,MARKETING,LOW
152,0.45,0.56,2,154,3,0,1,0,MARKETING,LOW
153,0.37,0.52,2,143,3,0,1,0,MARKETING,LOW
154,0.4,0.52,2,155,3,0,1,0,SALES,LOW
155,0.39,0.48,2,160,3,0,1,0,ACCOUNTING,LOW
156,0.11,0.8,6,304,4,0,1,0,SUPPORT,LOW
157,0.83,1,5,240,5,0,1,0,TECHNICAL,LOW
158,0.11,0.92,6,305,4,0,1,0,MANAGEMENT,LOW
159,0.39,0.5,2,136,3,0,1,0,MARKETING,LOW
160,0.45,0.45,2,132,3,0,1,0,MARKETING,LOW
161,0.1,0.95,7,301,4,0,1,0,MARKETING,LOW
162,0.9,0.98,5,243,6,0,1,0,SALES,LOW
163,0.45,0.51,2,147,3,0,1,0,SALES,LOW
164,0.79,0.89,5,239,5,0,1,0,SALES,LOW
165,0.9,0.99,5,260,5,0,1,0,SALES,LOW
166,0.11,0.84,7,296,4,0,1,0,SALES,LOW
167,0.43,0.55,2,129,3,0,1,0,SALES,LOW
168,0.31,0.54,5,132,5,0,1,0,SALES,LOW
169,0.32,0.5,2,135,5,0,1,0,SALES,LOW
170,0.45,0.57,2,158,3,0,1,0,SALES,LOW
171,0.81,0.99,4,259,5,0,1,0,SALES,LOW
172,0.41,0.46,2,160,3,0,1,1,SALES,LOW
173,0.11,0.78,7,278,4,0,1,0,SALES,LOW
174,0.1,0.88,6,284,4,0,1,0,SALES,LOW
175,0.7,0.53,2,274,4,0,1,0,SALES,LOW
176,0.54,0.74,4,164,2,0,1,0,SALES,LOW
177,0.41,0.48,2,148,3,0,1,0,SALES,LOW
178,0.38,0.5,2,140,3,0,1,0,SALES,MEDIUM
179,0.37,0.51,2,127,3,0,1,0,SALES,MEDIUM
180,0.11,0.85,6,308,5,0,1,0,SALES,MEDIUM
181,0.4,0.47,2,146,3,0,1,0,ACCOUNTING,MEDIUM
182,0.1,0.84,6,261,4,0,1,0,ACCOUNTING,MEDIUM
183,0.89,0.99,5,257,5,0,1,0,ACCOUNTING,MEDIUM
184,0.11,0.8,6,285,4,0,1,0,HR,MEDIUM
185,0.36,0.55,2,141,3,0,1,0,HR,MEDIUM
186,0.4,0.46,2,127,3,0,1,0,HR,MEDIUM
187,0.09,0.85,6,297,4,0,1,0,HR,MEDIUM
188,0.4,0.46,2,143,3,0,1,0,TECHNICAL,MEDIUM
189,0.37,0.55,2,152,3,0,1,0,TECHNICAL,MEDIUM
190,0.44,0.51,2,156,3,0,1,0,TECHNICAL,HIGH
191,0.09,0.8,7,283,5,0,1,0,TECHNICAL,LOW
192,0.92,0.87,4,226,6,1,1,0,TECHNICAL,MEDIUM
193,0.74,0.91,4,232,5,0,1,0,TECHNICAL,MEDIUM
194,0.09,0.82,6,249,4,0,1,0,TECHNICAL,MEDIUM
195,0.89,0.95,4,275,5,0,1,0,TECHNICAL,MEDIUM
196,0.09,0.8,6,304,4,0,1,0,TECHNICAL,LOW
197,0.27,0.54,7,278,3,0,1,0,TECHNICAL,LOW
198,0.1,0.91,6,287,4,0,1,0,TECHNICAL,LOW
199,0.1,0.89,7,285,4,0,1,0,SUPPORT,LOW
200,0.77,0.94,5,226,6,0,1,0,SUPPORT,LOW
201,0.9,0.82,5,259,5,0,1,0,SUPPORT,LOW
202,0.39,0.5,2,135,3,0,1,0,SUPPORT,LOW
203,0.76,1,5,219,5,0,1,0,SUPPORT,LOW
204,0.1,0.93,6,256,4,0,1,0,SUPPORT,LOW
205,0.87,0.9,5,254,6,0,1,0,SUPPORT,LOW
206,0.38,0.5,2,153,3,0,1,0,SUPPORT,LOW
207,0.77,0.99,5,228,5,0,1,0,SUPPORT,LOW
208,0.78,0.87,4,228,5,0,1,0,SUPPORT,LOW
209,0.44,0.5,2,128,3,0,1,0,SUPPORT,LOW
210,0.38,0.52,2,153,3,0,1,0,TECHNICAL,LOW
211,0.43,0.46,2,156,3,0,1,0,TECHNICAL,LOW
212,0.39,0.5,4,294,3,0,1,0,TECHNICAL,LOW
213,0.88,1,5,219,5,0,1,0,MANAGEMENT,LOW
214,0.45,0.46,2,153,3,0,1,0,IT,LOW
215,0.4,0.53,2,151,3,0,1,0,IT,LOW
216,0.36,0.51,2,155,3,0,1,0,IT,LOW
217,0.36,0.48,2,158,3,0,1,0,IT,LOW
218,0.9,0.98,5,245,5,0,1,0,IT,LOW
219,0.43,0.53,2,131,3,0,1,0,PRODUCT_MNG,LOW
220,0.89,0.87,5,225,5,0,1,0,PRODUCT_MNG,LOW
221,0.1,0.84,6,286,4,0,1,0,PRODUCT_MNG,LOW
222,0.37,0.5,2,135,3,0,1,0,PRODUCT_MNG,LOW
223,0.37,0.51,2,153,3,0,1,0,IT,LOW
224,0.87,0.9,5,252,5,0,1,0,ACCOUNTING,LOW
225,0.4,0.56,2,149,3,0,1,0,ACCOUNTING,LOW
226,0.9,0.97,4,258,5,0,1,0,HR,LOW
227,0.37,0.46,2,158,3,0,1,0,HR,LOW
228,0.44,0.54,2,149,3,0,1,0,HR,LOW
229,0.85,0.95,5,236,5,0,1,0,MARKETING,LOW
230,0.78,0.98,5,239,6,0,1,0,MARKETING,LOW
231,0.42,0.47,2,159,3,0,1,0,SALES,LOW
232,0.92,0.99,5,255,6,0,1,0,ACCOUNTING,LOW
233,0.11,0.83,6,244,4,0,1,0,SUPPORT,LOW
234,0.42,0.56,2,134,3,0,1,0,TECHNICAL,LOW
235,0.48,0.57,4,270,4,0,1,0,MANAGEMENT,LOW
236,0.83,0.85,4,255,5,0,1,0,MARKETING,LOW
237,0.4,0.53,2,151,3,0,1,0,MARKETING,LOW
238,0.43,0.45,2,135,3,0,1,0,MARKETING,LOW
239,0.43,0.53,2,146,3,0,1,0,SALES,LOW
240,0.1,0.97,7,254,4,0,1,0,SALES,LOW
241,0.1,0.87,7,289,4,0,1,0,SALES,LOW
242,0.37,0.46,2,156,3,0,1,0,SALES,LOW
243,0.38,0.53,2,156,3,0,1,0,SALES,LOW
244,0.4,0.5,2,128,3,0,1,0,SALES,LOW
245,0.89,0.86,5,275,5,0,1,0,SALES,LOW
246,0.45,0.46,2,155,3,0,1,0,SALES,LOW
247,0.37,0.48,2,159,3,0,1,0,SALES,LOW
248,0.46,0.49,2,148,3,0,1,0,SALES,LOW
249,0.87,0.91,4,228,5,0,1,0,SALES,LOW
250,0.11,0.84,6,298,4,0,1,0,SALES,LOW
251,0.79,0.87,5,261,5,0,1,0,SALES,LOW
252,0.79,0.92,5,254,6,0,1,0,SALES,LOW
253,0.19,0.59,7,192,3,0,1,0,SALES,LOW
254,0.87,0.98,4,248,5,0,1,0,SALES,LOW
255,0.6,0.92,2,258,5,0,1,0,SALES,LOW
256,0.44,0.45,2,156,3,0,1,0,SALES,MEDIUM
257,0.11,0.81,6,266,4,1,1,0,SALES,MEDIUM
258,0.42,0.54,2,156,3,0,1,0,ACCOUNTING,MEDIUM
259,0.88,0.88,5,232,5,1,1,0,ACCOUNTING,MEDIUM
260,0.11,0.84,6,287,4,0,1,0,ACCOUNTING,MEDIUM
261,0.46,0.46,2,154,3,0,1,0,HR,MEDIUM
262,0.82,0.97,5,263,5,0,1,0,HR,MEDIUM
263,0.44,0.56,2,131,3,0,1,0,HR,MEDIUM
264,0.11,0.78,6,260,4,0,1,0,HR,MEDIUM
265,0.42,0.5,2,139,3,0,1,0,TECHNICAL,MEDIUM
266,0.84,0.93,4,251,5,0,1,0,TECHNICAL,MEDIUM
267,0.11,0.95,6,286,4,0,1,0,TECHNICAL,MEDIUM
268,0.45,0.53,2,129,3,0,1,0,TECHNICAL,HIGH
269,0.38,0.56,2,156,3,0,1,0,TECHNICAL,LOW
270,0.38,0.86,6,139,6,0,1,0,TECHNICAL,MEDIUM
271,0.44,0.51,2,127,3,0,1,0,TECHNICAL,MEDIUM
272,0.11,0.84,6,251,4,0,1,0,TECHNICAL,MEDIUM
273,0.81,0.93,5,270,5,0,1,0,TECHNICAL,MEDIUM
274,0.09,0.96,6,296,4,0,1,0,TECHNICAL,LOW
275,0.11,0.9,6,254,4,0,1,0,TECHNICAL,LOW
276,0.81,0.95,5,238,6,0,1,0,SUPPORT,LOW
277,0.1,0.97,6,267,4,1,1,0,SUPPORT,LOW
278,0.74,0.89,5,229,6,0,1,0,SUPPORT,LOW
279,0.09,0.78,6,254,4,0,1,0,SUPPORT,LOW
280,0.82,0.81,4,233,4,1,1,0,SUPPORT,LOW
281,0.1,0.98,6,268,4,0,1,0,SUPPORT,LOW
282,0.27,0.56,3,301,3,0,1,0,SUPPORT,LOW
283,0.83,0.92,5,267,6,0,1,0,SUPPORT,LOW
284,0.1,0.93,6,289,4,1,1,0,SUPPORT,LOW
285,0.38,0.47,2,144,3,0,1,0,SUPPORT,LOW
286,0.4,0.56,2,148,3,0,1,0,SUPPORT,LOW
287,0.11,0.83,6,306,4,0,1,0,TECHNICAL,LOW
288,0.11,0.79,6,292,4,0,1,1,TECHNICAL,LOW
289,0.82,0.91,5,232,5,0,1,0,TECHNICAL,LOW
290,0.36,0.48,2,137,3,0,1,0,MANAGEMENT,LOW
291,0.4,0.46,2,128,3,0,1,0,IT,LOW
292,0.87,0.84,5,231,5,0,1,0,IT,LOW
293,0.41,0.49,2,146,3,0,1,0,IT,LOW
294,0.11,0.91,6,308,4,1,1,0,IT,LOW
295,0.1,0.93,6,253,4,0,1,0,IT,MEDIUM
296,0.38,0.51,2,146,3,0,1,0,PRODUCT_MNG,MEDIUM
297,0.39,0.55,2,156,3,0,1,0,PRODUCT_MNG,MEDIUM
298,0.4,0.52,2,147,3,0,1,0,PRODUCT_MNG,MEDIUM
299,0.45,0.48,2,136,3,0,1,0,PRODUCT_MNG,MEDIUM
300,0.74,0.84,5,249,5,0,1,0,IT,MEDIUM
301,0.45,0.55,2,151,3,0,1,0,RANDD,MEDIUM
302,0.12,1,3,278,4,0,1,0,RANDD,MEDIUM
303,0.1,0.77,7,250,5,0,1,0,RANDD,MEDIUM
304,0.37,0.55,2,127,3,0,1,0,RANDD,MEDIUM
305,0.89,0.87,5,255,5,0,1,0,RANDD,MEDIUM
306,0.45,0.47,2,135,3,0,1,0,MARKETING,MEDIUM
307,0.37,0.46,2,149,3,0,1,0,SALES,HIGH
308,0.11,0.81,5,287,4,0,1,0,ACCOUNTING,LOW
309,0.41,0.48,2,145,3,0,1,0,SUPPORT,MEDIUM
310,0.1,0.94,6,285,4,0,1,0,TECHNICAL,MEDIUM
311,0.1,0.93,7,305,4,0,1,0,MANAGEMENT,MEDIUM
312,0.11,0.95,7,300,4,0,1,0,MARKETING,MEDIUM
313,0.4,0.54,2,139,3,0,1,0,MARKETING,LOW
314,0.41,0.49,2,130,3,0,1,0,MARKETING,LOW
315,0.1,0.81,6,268,4,0,1,0,SALES,LOW
316,0.73,0.86,4,245,6,0,1,0,SALES,LOW
317,0.43,0.47,2,135,3,0,1,0,SALES,LOW
318,0.37,0.46,2,153,3,0,1,0,SALES,LOW
319,0.11,0.94,6,276,4,0,1,0,SALES,LOW
320,0.4,0.46,2,130,3,0,1,0,SALES,LOW
321,0.41,0.54,2,153,3,1,1,0,SALES,LOW
322,0.82,0.84,5,244,5,0,1,0,SALES,LOW
323,0.61,0.47,2,253,3,0,1,0,SALES,LOW
324,0.11,0.91,7,287,4,0,1,0,SALES,LOW
325,0.37,0.45,2,131,3,0,1,0,SALES,LOW
326,0.41,0.52,2,135,3,0,1,0,SALES,LOW
327,0.37,0.52,2,157,3,0,1,0,SALES,LOW
328,0.88,0.99,5,262,6,0,1,0,SALES,LOW
329,0.1,0.85,6,266,4,0,1,0,SALES,LOW
330,0.44,0.48,2,148,3,0,1,0,SALES,LOW
331,0.38,0.57,2,140,3,0,1,0,SALES,LOW
332,0.11,0.85,7,302,4,0,1,0,SALES,LOW
333,0.09,0.98,6,271,4,0,1,0,SALES,LOW
334,0.45,0.52,2,145,3,0,1,0,ACCOUNTING,MEDIUM
335,0.1,0.81,6,290,4,0,1,0,ACCOUNTING,MEDIUM
336,0.45,0.47,2,151,3,0,1,0,ACCOUNTING,MEDIUM
337,0.77,0.87,5,266,5,0,1,0,HR,MEDIUM
338,0.44,0.51,2,140,3,0,1,0,HR,MEDIUM
339,0.39,0.5,2,142,3,0,1,0,HR,MEDIUM
340,0.1,0.91,6,246,4,0,1,0,HR,MEDIUM
341,0.09,0.89,7,308,5,0,1,0,TECHNICAL,MEDIUM
342,0.37,0.47,2,141,3,0,1,0,TECHNICAL,MEDIUM
343,0.9,1,5,232,5,0,1,0,TECHNICAL,MEDIUM
344,0.41,0.56,2,143,3,0,1,0,TECHNICAL,MEDIUM
345,0.37,0.52,2,155,3,0,1,0,TECHNICAL,MEDIUM
346,0.1,0.86,6,278,4,0,1,0,TECHNICAL,HIGH
347,0.81,1,4,253,5,0,1,0,TECHNICAL,LOW
348,0.11,0.8,6,282,4,0,1,0,TECHNICAL,MEDIUM
349,0.11,0.84,7,264,4,0,1,0,TECHNICAL,MEDIUM
350,0.4,0.46,2,149,3,0,1,0,TECHNICAL,MEDIUM
351,0.09,0.8,6,304,5,0,1,0,TECHNICAL,MEDIUM
352,0.48,0.93,3,219,6,0,1,0,SUPPORT,LOW
353,0.91,0.91,4,262,6,0,1,0,SUPPORT,LOW
354,0.43,0.57,2,135,3,0,1,0,SUPPORT,LOW
355,0.33,0.88,6,219,5,0,1,0,SUPPORT,LOW
356,0.41,0.57,2,136,3,0,1,0,SUPPORT,LOW
357,0.41,0.55,2,154,3,0,1,0,SUPPORT,LOW
358,0.37,0.54,2,149,3,0,1,0,SUPPORT,LOW
359,0.31,0.62,6,135,5,0,1,0,SUPPORT,LOW
360,0.09,0.91,6,275,4,0,1,0,SUPPORT,LOW
361,0.1,0.87,6,290,4,0,1,0,SUPPORT,LOW
362,0.76,0.9,4,263,5,0,1,0,SUPPORT,LOW
363,0.41,0.54,2,145,3,0,1,0,TECHNICAL,LOW
364,0.72,0.96,5,267,5,0,1,0,TECHNICAL,LOW
365,0.4,0.5,2,141,3,1,1,0,TECHNICAL,LOW
366,0.91,0.87,4,235,5,0,1,0,MANAGEMENT,LOW
367,0.1,0.83,6,258,4,0,1,0,IT,LOW
368,0.4,0.56,2,131,3,0,1,0,IT,LOW
369,0.82,0.86,5,243,5,0,1,0,IT,LOW
370,0.1,0.82,6,266,4,0,1,0,IT,LOW
371,0.37,0.45,2,142,3,0,1,0,IT,LOW
372,0.36,0.51,2,135,3,0,1,0,PRODUCT_MNG,LOW
373,0.39,0.48,2,141,3,0,1,0,PRODUCT_MNG,MEDIUM
374,0.36,0.57,2,142,3,0,1,0,PRODUCT_MNG,MEDIUM
375,0.86,0.84,5,254,5,0,1,0,PRODUCT_MNG,MEDIUM
376,0.73,0.99,5,262,5,0,1,0,IT,MEDIUM
377,0.56,0.71,4,296,2,0,1,0,ACCOUNTING,MEDIUM
378,0.44,0.56,2,158,3,0,1,0,ACCOUNTING,MEDIUM
379,0.31,0.56,4,238,2,0,1,0,HR,MEDIUM
380,0.77,0.93,4,231,5,0,1,0,HR,MEDIUM
381,0.44,0.45,2,156,3,0,1,0,HR,MEDIUM
382,0.38,0.46,2,145,3,0,1,0,MARKETING,MEDIUM
383,0.45,0.48,2,144,3,0,1,0,SALES,MEDIUM
384,0.38,0.51,2,159,3,0,1,0,ACCOUNTING,MEDIUM
385,0.36,0.48,2,156,3,0,1,0,SUPPORT,HIGH
386,0.75,0.9,5,256,5,0,1,0,TECHNICAL,LOW
387,0.1,0.93,6,298,4,0,1,0,MANAGEMENT,MEDIUM
388,0.1,0.97,6,247,4,0,1,0,MARKETING,MEDIUM
389,0.45,0.5,2,157,3,0,1,0,MARKETING,MEDIUM
390,0.42,0.57,2,154,3,1,1,0,MARKETING,MEDIUM
391,0.78,1,4,253,5,0,1,0,SALES,LOW
392,0.45,0.55,2,148,3,0,1,0,SALES,LOW
393,0.84,1,4,261,5,0,1,0,SALES,LOW
394,0.11,0.93,6,282,4,0,1,0,SALES,LOW
395,0.42,0.56,2,133,3,0,1,0,SALES,LOW
396,0.45,0.46,2,128,3,0,1,0,SALES,LOW
397,0.46,0.57,2,139,3,0,1,0,SALES,LOW
398,0.09,0.79,6,293,5,0,1,0,SALES,LOW
399,0.87,0.83,4,265,6,0,1,0,SALES,LOW
400,0.1,0.87,6,250,4,0,1,0,SALES,LOW
401,0.91,1,5,251,6,0,1,0,SALES,LOW
402,0.76,0.92,4,246,5,0,1,0,SALES,LOW
403,0.74,1,5,275,5,0,1,0,SALES,LOW
404,0.92,0.93,5,240,5,0,1,0,SALES,LOW
405,0.76,0.87,5,245,5,0,1,0,SALES,LOW
406,0.47,0.5,4,254,4,0,1,0,SALES,LOW
407,0.73,0.99,5,241,5,0,1,0,SALES,LOW
408,0.09,0.94,6,257,4,0,1,0,SALES,LOW
409,0.91,0.92,4,246,5,0,1,0,SALES,LOW
410,0.82,0.98,4,233,5,0,1,0,ACCOUNTING,LOW
411,0.28,0.45,6,218,4,0,1,0,ACCOUNTING,LOW
412,0.84,0.99,4,262,6,0,1,0,ACCOUNTING,MEDIUM
413,0.45,0.53,2,138,3,0,1,0,HR,MEDIUM
414,0.45,0.54,2,142,3,0,1,0,HR,MEDIUM
415,0.91,0.97,5,233,5,0,1,0,HR,MEDIUM
416,0.42,0.48,2,155,3,0,1,0,HR,MEDIUM
417,0.82,1,4,229,6,0,1,0,TECHNICAL,MEDIUM
418,0.11,0.9,6,264,4,0,1,0,TECHNICAL,MEDIUM
419,0.42,0.53,3,199,4,0,1,0,TECHNICAL,MEDIUM
420,0.82,0.85,4,223,5,0,1,0,TECHNICAL,MEDIUM
421,0.09,0.96,6,268,4,0,1,0,TECHNICAL,MEDIUM
422,0.1,0.94,6,287,4,0,1,0,TECHNICAL,MEDIUM
